"id","hotel_id","url_id","language","description","created_at","updated_at"
"6c2498f2-d3a2-4830-b59a-23aee3033272","382474c1-7c97-4133-a77e-cc7590888a55","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","es","El Ibis Wien Hauptbahnhof se encuentra en Viena, a 800 metros del palacio Belvedere y a 2 km del teatro de la Ópera Estatal de Viena. El hotel alberga un bar.

Todas las habitaciones de este hotel incluyen aire acondicionado, TV de pantalla plana y baño privado.

El establecimiento cuenta con centro de negocios.

El ibis Wien Hauptbahnhof está a 2,1 km del parque municipal Stadtpark, a 2,2 km del Museo Albertina y a 15 km del aeropuerto internacional de Viena.","2026-03-13 19:59:38.928231+00","2026-03-13 19:59:38.928234+00"
"58d94f98-4df8-4e6d-beba-315e729bc680","ec1ff3c8-b594-48e3-af65-bee74ced267a","15b6b2e4-eade-4732-b624-9e160753f245","es","Alojamientos Cómodos:Leonardo Hotel Vienna City West en Viena ofrece habitaciones con aire acondicionado, baños privados, vistas a la ciudad y equipamiento moderno. Cada habitación incluye un escritorio, TV y WiFi gratis.Servicios Excepcionales:Los huéspedes pueden relajarse en la terraza o disfrutar de una bebida en el bar. El hotel ofrece WiFi gratis, ascensor, recepción 24 horas y estación de carga para vehículos eléctricos. Servicios adicionales incluyen aparcamiento para bicicletas y consigna de equipaje.Ubicación Privilegiada:Situado a 21 km del Aeropuerto Internacional de Viena, el hotel está a 13 minutos a pie de la estación de tren Wien Westbahnhof. Las atracciones cercanas incluyen Wiener Stadthalle (2,4 km) y el Palacio de Schönbrunn (2,6 km). También hay una pista de patinaje sobre hielo en los alrededores.Favoritos de los Huéspedes:Los huéspedes valoran la ubicación conveniente, la excelente relación calidad-precio y la variedad de opciones de transporte público.","2026-03-13 20:00:56.988826+00","2026-03-13 20:00:56.988828+00"
"51fa8b7f-cf48-4876-bfdf-76503a247675","047285b7-d61a-4b93-8d5c-4d53a5839333","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","en","Ibis Wien Hauptbahnhof is located in Vienna, 800 metres from Belvedere Palace and 2 km from Vienna State Opera. Guests can enjoy the on-site bar.

Every room at this hotel is air conditioned and features a flat-screen TV. All rooms come with a private bathroom.

You will find a business centre at the property.

Stadtpark is 2.1 km from ibis Wien Hauptbahnhof, while Albertina Museum is 2.2 km from the property. Vienna International Airport is 15 km away.","2026-03-13 20:03:48.487766+00","2026-03-13 20:03:48.487788+00"
"a2460c09-78dd-4d9d-9e7e-b08276761775","94f8b4e8-58f4-4b4d-9134-166972c2e57a","15b6b2e4-eade-4732-b624-9e160753f245","en","Comfortable Accommodations:Leonardo Hotel Vienna City West in Vienna offers air-conditioned rooms with private bathrooms, city views, and modern amenities. Each room includes a work desk, TV, and free WiFi.Exceptional Facilities:Guests can relax on the terrace or enjoy a drink at the bar. The hotel provides free WiFi, a lift, 24-hour front desk, and electric vehicle charging. Additional services include bicycle parking and luggage storage.Prime Location:Located 21 km from Vienna International Airport, the hotel is a 13-minute walk from Wien Westbahnhof Railway Station. Nearby attractions include Schönbrunn Palace (2.6 km) and an ice-skating rink. Guests appreciate the public transport options and value for money.","2026-03-13 20:06:39.92829+00","2026-03-13 20:06:39.928294+00"
"19248faa-689a-4e0c-ba0e-6ca4fdc2f727","b22bb3ee-8327-49d9-9d4b-8edfcfdf4064","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","de","Das Ibis Wien Hauptbahnhof liegt in Wien, 800 m vom Schloss Belvedere und 2 km von der Wiener Staatsoper entfernt und bietet eine hauseigene Bar.

Die klimatisierten Zimmer in diesem Hotel verfügen über einen Flachbild-TV und ein eigenes Bad.

In der Unterkunft können Sie ein Businesscenter in Anspruch nehmen.

Der Wiener Stadtpark ist 2,1 km vom ibis Wien Hauptbahnhof entfernt und das Kunstmuseum Albertina erreichen Sie nach 2,2 km. Vom Flughafen Wien-Schwechat trennen Sie 15 km.","2026-03-13 20:07:59.763062+00","2026-03-13 20:07:59.763064+00"
"785b4821-155e-45ed-ab77-37ade9246b78","372c54d7-f26a-408b-a4ee-1af8bdc09964","15b6b2e4-eade-4732-b624-9e160753f245","de","Dieses Hotel – optimal gelegen im Bezirk 15. Rudolfsheim-Fünfh – befindet sich 1,1 km von Wien Westbahnhof, 2,4 km von Wiener Stadthalle und 2,6 km von Schloss Schönbrunn entfernt. Dieses Hotel mit 4 Sternen bietet durchweg Stadtblick und die Gäste haben Zugang zu einer Terrasse und einer Bar. Kostenloses WLAN ist verfügbar und ein Privatparkplatz kann gegen Aufpreis arrangiert werden.

Die Unterkunft Leonardo Hotel Vienna City West bietet den Gästen klimatisierte Zimmer mit einem Schreibtisch, einer Kaffeemaschine, einem Safe, einem Flachbild-TV und einem eigenen Badezimmer mit einer Dusche. In der Unterkunft Leonardo Hotel Vienna City West sind die Zimmer ausgestattet mit Bettwäsche und Handtüchern.

Gäste der Unterkunft Leonardo Hotel Vienna City West können ein als Buffet angebotenes Frühstück genießen.

Die Mitarbeitenden an der rund um die Uhr besetzten Rezeption sprechen Deutsch und Englisch.

Schönbrunner Gardens liegt 4 km von der Unterkunft Leonardo Hotel Vienna City West entfernt, während Österreichisches Parlament 4,1 km von der Unterkunft entfernt ist. Der nächstgelegene Flughafen ist der Flughafen Wien-Schwechat, 21 km von der Unterkunft Leonardo Hotel Vienna City West entfernt.","2026-03-13 20:09:47.545488+00","2026-03-13 20:09:47.545492+00"
"7d66dfcd-e0d9-41ba-abf1-8b2a3defa2db","c8f1f578-62e7-4e77-abbf-1c69545d4ab8","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","fr","L'ibis Wien Hauptbahnhof est situé à Vienne, à 800 mètres du palais du Belvédère et à 2 km de l'opéra d'état de Vienne. Vous pourrez prendre un verre au bar sur place.

Chaque chambre de cet hôtel est pourvue de la climatisation, d'une télévision à écran plat et d'une salle de bains privative.

Un centre d'affaires est également à votre disposition.

Le Stadtpark se trouve à 2,1 km de l'ibis Wien Hauptbahnhof, tandis que le musée Albertina vous attend à 2,2 km. L'aéroport international de Vienne est accessible à 15 km.","2026-03-13 20:11:06.108348+00","2026-03-13 20:11:06.108351+00"
"6ce9a105-14e1-43c4-a2b6-6590bfc66797","46ec3b91-9948-4540-97fa-6fb5e99a4ec2","15b6b2e4-eade-4732-b624-9e160753f245","fr","L’établissement Leonardo Hotel Vienna City West est idéalement placé dans le quartier 15 Rudolfsheim-Fünfhaus de Vienne, à respectivement 1,1 km, 2,4 km et 2,6 km de ces lieux d’intérêt : Gare de l'Ouest de Vienne, Wiener Stadthalle et Château de Schönbrunn. Tous les hébergements de cet hôtel 4 étoiles offrent une vue sur la ville. Vous pourrez profiter d'une terrasse et d'un bar. Une connexion Wi-Fi gratuite est disponible et un parking privé peut être utilisé moyennant des frais supplémentaires.

Les hébergements sont dotés de la climatisation, d’un bureau, d’une machine à café, d’un coffre-fort, d’une télévision à écran plat et d’une salle de bains privative avec une douche. Des serviettes et du linge de lit sont fournis.

Un petit-déjeuner buffet est servi sur place.

Le personnel de la réception ouverte 24h/24 parle allemand et anglais.

Vous séjournerez à respectivement 4 km et 4,1 km de ces lieux d’intérêt : Schönbrunner Gardens et Parlement autrichien. L'aéroport le plus proche (Aéroport de Vienne-Schwechat) est à 21 km.","2026-03-13 20:12:24.144962+00","2026-03-13 20:12:24.144965+00"
"48dbdcdc-92c8-4fbb-9a4c-e6803616da83","e868b655-6fe3-4196-a0ca-48faa83e6fcb","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","it","Situato a Vienna, a 800 metri dal Palazzo Belvedere e a 2 km dal teatro Wiener Staatsoper, l'ibis Wien Hauptbahnhof offre un bar.

Tutte le camere dell'hotel sono dotate di aria condizionata, TV a schermo piatto e bagno privato.

In loco troverete anche un centro business.

L'ibis Wien Hauptbahnhof dista 2,1 km dallo Stadtpark, 2,2 km dal Museo Albertina e 15 km dall'Aeroporto Internazionale di Vienna.","2026-03-13 20:13:57.499326+00","2026-03-13 20:13:57.499329+00"
"b4243a44-747f-45b2-b034-f49a98b2620f","dea5831c-e66b-4b5e-8ec6-ff729fb551ea","440d6ab4-3ac8-486e-a6d2-6e8454b255ed","nl","Het ibis Wien Hauptbahnhof ligt in Wenen, op 800 meter van Slot Belvedere en op 2 km van de Staatsopera van Wenen. Het heeft een eigen bar.

Elke kamer van dit hotel beschikt over airconditioning, een flatscreen-tv en een eigen badkamer.

Bij de accommodatie vindt u een businesscentrum.

Het Stadtpark bevindt zich op 2,1 km van het ibis Wien Hauptbahnhof en het Albertina Museum ligt op 2,2 km afstand. De internationale luchthaven van Wenen bevindt zich op 15 km afstand.","2026-03-13 20:16:34.368196+00","2026-03-13 20:16:34.368199+00"
